1;0.010914 
2;0.0112277 
3;0.0115406 
4;0.0118525 
5;0.012163 
6;0.0124719 
7;0.0127789 
8;0.0130836 
9;0.0133858 
10;0.0136851 
11;0.0139813 
12;0.014274 
13;0.0145631 
14;0.0148481 
15;0.0151288 
16;0.0154049 
17;0.0156762 
18;0.0159424 
19;0.0162033 
20;0.0164585 
21;0.0167078 
22;0.016951 
23;0.0171878 
24;0.017418 
25;0.0176414 
26;0.0178578 
27;0.0180669 
28;0.0182685 
29;0.0184624 
30;0.0186485 
31;0.0188266 
32;0.0189964 
33;0.0191579 
34;0.0193108 
35;0.019455 
36;0.0195904 
37;0.0197168 
38;0.0198341 
39;0.0199422 
40;0.020041 
41;0.0201304 
42;0.0202102 
43;0.0202805 
44;0.0203411 
45;0.020392 
46;0.0204332 
47;0.0204645 
48;0.020486 
49;0.0204977 
50;0.0204995 
51;0.0204914 
52;0.0204735 
53;0.0204457 
54;0.0204081 
55;0.0203607 
56;0.0203036 
57;0.0202369 
58;0.0201605 
59;0.0200746 
60;0.0199792 
61;0.0198745 
62;0.0197605 
63;0.0196374 
64;0.0195052 
65;0.0193642 
66;0.0192145 
67;0.0190561 
68;0.0188893 
69;0.0187142 
70;0.018531 
71;0.0183399 
72;0.018141 
73;0.0179346 
74;0.0177209 
75;0.0175 
76;0.0172722 
77;0.0170378 
78;0.0167969 
79;0.0165497 
80;0.0162967 
81;0.0160378 
82;0.0157736 
83;0.0155041 
84;0.0152297 
85;0.0149506 
86;0.0146671 
87;0.0143795 
88;0.0140881 
89;0.0137931 
90;0.0134949 
91;0.0131937 
92;0.0128899 
93;0.0125837 
94;0.0122755 
95;0.0119655 
96;0.0116541 
97;0.0113415 
98;0.0110281 
99;0.0107141 
100;0.0104 
101;0.010086 
102;0.00977233 
103;0.00945941 
104;0.00914752 
105;0.00883697 
106;0.00852805 
107;0.00822109 
108;0.00791637 
109;0.0076142 
110;0.00731488 
111;0.0070187 
112;0.00672596 
113;0.00643695 
114;0.00615194 
115;0.00587122 
116;0.00559507 
117;0.00532377 
118;0.00505757 
119;0.00479674 
120;0.00454154 
121;0.00429222 
122;0.00404903 
123;0.0038122 
124;0.00358198 
125;0.00335858 
126;0.00314222 
127;0.00293313 
128;0.00273151 
129;0.00253756 
130;0.00235146 
131;0.0021734 
132;0.00200356 
133;0.00184211 
134;0.0016892 
135;0.00154498 
136;0.0014096 
137;0.0012832 
138;0.00116589 
139;0.00105779 
140;0.000959009 
141;0.000869645 
142;0.000789784 
143;0.000719506 
144;0.000658881 
145;0.000607967 
146;0.000566816 
147;0.000535467 
148;0.000513953 
149;0.000502293 
150;0.0005005 
151;0.000508575 
152;0.000526511 
153;0.000554289 
154;0.000591882 
155;0.000639254 
156;0.000696356 
157;0.000763134 
158;0.000839521 
159;0.000925442 
160;0.00102081 
161;0.00112554 
162;0.00123951 
163;0.00136263 
164;0.00149476 
165;0.00163578 
166;0.00178555 
167;0.00194391 
168;0.00211072 
169;0.00228582 
170;0.00246901 
171;0.00266013 
172;0.00285899 
173;0.00306539 
174;0.00327913 
175;0.0035 
176;0.00372777 
177;0.00396222 
178;0.00420313 
179;0.00445025 
180;0.00470334 
181;0.00496215 
182;0.00522643 
183;0.00549591 
184;0.00577033 
185;0.00604942 
186;0.0063329 
187;0.00662049 
188;0.00691191 
189;0.00720688 
190;0.00750509 
191;0.00780626 
192;0.00811008 
193;0.00841627 
194;0.00872451 
195;0.0090345 
196;0.00934594 
197;0.00965852 
198;0.00997193 
199;0.0102859 
200;0.0106 
201;0.010914 
202;0.0112277 
203;0.0115406 
204;0.0118525 
205;0.012163 
206;0.0124719 
207;0.0127789 
208;0.0130836 
209;0.0133858 
210;0.0136851 
211;0.0139813 
212;0.014274 
213;0.0145631 
214;0.0148481 
215;0.0151288 
216;0.0154049 
217;0.0156762 
218;0.0159424 
219;0.0162033 
220;0.0164585 
221;0.0167078 
222;0.016951 
223;0.0171878 
224;0.017418 
225;0.0176414 
226;0.0178578 
227;0.0180669 
228;0.0182685 
229;0.0184624 
230;0.0186485 
231;0.0188266 
232;0.0189964 
233;0.0191579 
234;0.0193108 
235;0.019455 
236;0.0195904 
237;0.0197168 
238;0.0198341 
239;0.0199422 
240;0.020041 
241;0.0201304 
242;0.0202102 
243;0.0202805 
244;0.0203411 
245;0.020392 
246;0.0204332 
247;0.0204645 
248;0.020486 
249;0.0204977 
250;0.0204995 
251;0.0204914 
252;0.0204735 
253;0.0204457 
254;0.0204081 
255;0.0203607 
256;0.0203036 
257;0.0202369 
258;0.0201605 
259;0.0200746 
260;0.0199792 
261;0.0198745 
262;0.0197605 
263;0.0196374 
264;0.0195052 
265;0.0193642 
266;0.0192145 
267;0.0190561 
268;0.0188893 
269;0.0187142 
270;0.018531 
271;0.0183399 
272;0.018141 
273;0.0179346 
274;0.0177209 
275;0.0175 
276;0.0172722 
277;0.0170378 
278;0.0167969 
279;0.0165497 
280;0.0162967 
281;0.0160378 
282;0.0157736 
283;0.0155041 
284;0.0152297 
285;0.0149506 
286;0.0146671 
287;0.0143795 
288;0.0140881 
289;0.0137931 
290;0.0134949 
291;0.0131937 
292;0.0128899 
293;0.0125837 
294;0.0122755 
295;0.0119655 
296;0.0116541 
297;0.0113415 
298;0.0110281 
299;0.0107141 
300;0.0104 
301;0.010086 
302;0.00977233 
303;0.00945941 
304;0.00914752 
305;0.00883697 
306;0.00852805 
307;0.00822109 
308;0.00791637 
309;0.0076142 
310;0.00731488 
311;0.0070187 
312;0.00672596 
313;0.00643695 
314;0.00615194 
